Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,518.0,28.0,2.0,548.0,5.109489051,242.0,154.0,396.0,61.11111111
2017 Q2,574.0,27.0,0.0,601.0,4.492512479,257.0,188.0,445.0,57.75280899
2017 Q3,597.0,27.0,2.0,626.0,4.313099042,214.0,138.0,352.0,60.79545455
2017 Q4,523.0,33.0,3.0,559.0,5.903398927,201.0,183.0,384.0,52.34375
2018 Q1,610.0,23.0,0.0,633.0,3.633491311,232.0,149.0,381.0,60.89238845
2018 Q2,603.0,40.0,0.0,643.0,6.220839813,303.0,162.0,465.0,65.16129032
2018 Q3,622.0,35.0,1.0,658.0,5.319148936,264.0,148.0,412.0,64.0776699
2018 Q4,539.0,38.0,1.0,578.0,6.574394464,298.0,164.0,462.0,64.5021645
2019 Q1,511.0,46.0,1.0,558.0,8.243727599,266.0,141.0,407.0,65.35626536
2019 Q2,516.0,42.0,1.0,559.0,7.513416816,294.0,157.0,451.0,65.18847007
2019 Q3,605.0,34.0,3.0,642.0,5.295950156,234.0,152.0,386.0,60.62176166
2019 Q4,536.0,23.0,4.0,563.0,4.085257549,217.0,143.0,360.0,60.27777778
2020 Q1,349.0,27.0,2.0,378.0,7.142857143,252.0,146.0,398.0,63.31658291
2020 Q2,365.0,22.0,0.0,387.0,5.684754522,69.0,76.0,145.0,47.5862069
2020 Q3,458.0,45.0,1.0,504.0,8.928571429,150.0,129.0,279.0,53.76344086
2020 Q4,524.0,35.0,1.0,560.0,6.25,144.0,109.0,253.0,56.91699605
2021 Q1,466.0,47.0,0.0,513.0,9.161793372,151.0,134.0,285.0,52.98245614
2021 Q2,422.0,38.0,1.0,461.0,8.242950108,163.0,137.0,300.0,54.33333333
2021 Q3,466.0,60.0,1.0,527.0,11.38519924,210.0,162.0,372.0,56.4516129
2021 Q4,473.0,70.0,2.0,545.0,12.8440367,154.0,112.0,266.0,57.89473684
2022 Q1,362.0,78.0,2.0,442.0,17.64705882,177.0,132.0,309.0,57.2815534
2022 Q2,456.0,57.0,5.0,519.0,10.98265896,174.0,146.0,320.0,54.375
2022 Q3,486.0,81.0,7.0,574.0,14.11149826,142.0,135.0,277.0,51.26353791
2022 Q4,420.0,53.0,3.0,476.0,11.13445378,158.0,155.0,313.0,50.47923323
2023 Q1,452.0,54.0,3.0,509.0,10.60903733,153.0,127.0,280.0,54.64285714
