Filing Year,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,40.7,42.5882
2017 Q2,30.75,39.6111
2017 Q3,40.4706,46.8462
2017 Q4,37.625,39.375
2018 Q1,46.5294,50.8571
2018 Q2,50.0667,45.2667
2018 Q3,47.8667,42.3846
2018 Q4,45.9333,44.9286
2019 Q1,44.1875,50.2308
2019 Q2,42.375,51.9286
2019 Q3,49.5714,58.2727
2019 Q4,52.25,49.0769
2020 Q1,59.5833,53.5
2020 Q2,44.3333,41.7143
2020 Q3,41.6429,55.3
2020 Q4,44.0833,45.6
2021 Q1,54.3636,38.75
2021 Q2,57.4545,53.0
2021 Q3,62.2727,44.3333
2021 Q4,54.2727,55.0
2022 Q1,74.0,64.3
2022 Q2,80.875,67.5
2022 Q3,106.3333,91.1667
2022 Q4,100.0,96.6
