All Prosecutors,,,,,,,,,,,,,,
,2016,32.5,2017,34.5,2018,35.5,2019,37.5,2020,39.5,2021,40,2022,41
Male,,21,,21,,19,,22,,24,,24,,20
Female,,13,,14,,17,,15,,16,,16,,21
White,,32,,33,,34,,36,,39,,39,,38
Black,,0,,0,,0,,0,,0,,0,,0
Asian,,0,,0,,0,,0,,0,,0,,1
Hispanic,,2,,2,,2,,1,,1,,2,,1
Multi,,0,,0,,0,,0,,0,,0,,1
Supervisor,,6,,7,,7,,7,,8,,9,,9
Line DA,,28,,27,,28.5,,30.5,,31.5,,31,,32
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Supervisors Only,,,,,,,,,,,,,,
,2016,6,2017,7,2018,7,2019,7,2020,9,2021,7,2022,9
Male,,4,,5,,5,,5,,8,,5,,6
Female,,2,,2,,2,,2,,1,,2,,3
White,,6,,7,,7,,7,,9,,7,,9
Black,,0,,0,,0,,0,,0,,0,,0
Asian,,0,,0,,0,,0,,0,,0,,0
Hispanic,,0,,0,,0,,0,,0,,0,,0
Multi,,0,,0,,0,,0,,0,,0,,0
